employee_id,employee_code,first_name,last_name,gender,date_of_birth,blood_group,marital_status,role,designation,qualification,specialization,employment_type,department_id,reporting_manager_id,years_of_experience,salary,hire_date,shift_type,employment_status,email,phone_number,emergency_contact_name,emergency_contact,emergency_contact_relation,created_by,updated_by,created_date,updated_date
11,EMP000011,Hritik,Apte,Female,1966-10-03,AB-,Married,Pharmacist,Pharmacist,D.Pharm,Inventory,Contract,11,\N,3,49467,2023-07-22,Evening,Active,hritik.apte11@apollohospital.com,9346247510,Emergency Contact,9799118384,Mother,System,System,2023-01-01,2025-01-01
12,EMP000012,Krisha,Sarna,Female,1983-04-12,O-,Divorced,Admin,Executive,B.Com,HR,Full-time,1,\N,3,36971,2023-05-06,General,Active,krisha.sarna12@apollohospital.com,9124118244,Emergency Contact,9935348740,Father,System,System,2023-01-01,2025-01-01
13,EMP000013,Devika,Chandra,Female,1969-05-02,B+,Divorced,Doctor,Head Consultant,MS,Orthopedics,Contract,7,\N,27,213072,1999-01-11,Evening,Active,devika.chandra13@apollohospital.com,9868011280,Emergency Contact,9598262045,Father,System,System,2023-01-01,2025-01-01
14,EMP000014,Januja,Karpe,Male,1981-11-08,AB-,Divorced,Pharmacist,Senior Pharmacist,B.Pharm,Inventory,Contract,7,\N,7,58539,2019-11-04,Morning,Active,januja.karpe14@apollohospital.com,9322602563,Emergency Contact,9421607337,Spouse,System,System,2023-01-01,2025-01-01
15,EMP000015,Patrick,Chakrabarti,Female,1984-04-01,O+,Married,Pharmacist,Senior Pharmacist,B.Pharm,Clinical Pharmacy,Full-time,11,\N,8,62520,2018-11-07,Evening,Active,patrick.chakrabarti15@apollohospital.com,9586850142,Emergency Contact,9940196556,Sister,System,System,2023-01-01,2025-01-01
16,EMP000016,Chandani,Dutta,Female,1973-07-19,A+,Divorced,Admin,Senior Executive,M.Com,HR,Full-time,6,\N,8,43259,2018-04-09,General,Active,chandani.dutta16@apollohospital.com,9561595148,Emergency Contact,9465648236,Brother,System,System,2023-01-01,2025-01-01
17,EMP000017,Gagan,Chadha,Female,1993-10-10,A+,Married,Nurse,Nursing Supervisor,B.Sc Nursing,Emergency,Contract,1,\N,10,55521,2016-07-18,Night,Active,gagan.chadha17@apollohospital.com,9957773872,Emergency Contact,9148951343,Mother,System,System,2023-01-01,2025-01-01
18,EMP000018,Tejas,Ramaswamy,Male,1994-01-08,A-,Married,Pharmacist,Pharmacist,B.Pharm,Inventory,Contract,8,\N,1,43915,2025-08-20,Morning,Active,tejas.ramaswamy18@apollohospital.com,9676320163,Emergency Contact,9287083172,Brother,System,System,2023-01-01,2025-01-01
19,EMP000019,Girindra,Vohra,Male,1971-08-20,O+,Divorced,Nurse,Chief Nursing Officer,B.Sc Nursing,Emergency,Contract,9,\N,21,80092,2005-12-17,Evening,Active,girindra.vohra19@apollohospital.com,9743487347,Emergency Contact,9143455812,Mother,System,System,2023-01-01,2025-01-01
20,EMP000020,Balvan,Raja,Female,1990-12-05,A-,Married,Nurse,Senior Nurse,B.Sc Nursing,OT,Contract,3,\N,7,50445,2019-12-07,Evening,Active,balvan.raja20@apollohospital.com,9603669096,Emergency Contact,9705466889,Mother,System,System,2023-01-01,2025-01-01
21,EMP000021,Ishita,Dhingra,Female,1973-05-14,O+,Married,Technician,Chief Technician,MMLT,CT Scan,Contract,7,\N,15,62932,2011-08-01,Morning,Active,ishita.dhingra21@apollohospital.com,9729806990,Emergency Contact,9162720465,Mother,System,System,2023-01-01,2025-01-01
22,EMP000022,Rudra,Reddy,Female,1976-06-25,O+,Married,Admin,Manager,BBA,Procurement,Contract,8,\N,21,58658,2005-07-09,General,Active,rudra.reddy22@apollohospital.com,9531003309,Emergency Contact,9232719374,Spouse,System,System,2023-01-01,2025-01-01
23,EMP000023,Balendra,Raj,Female,1994-10-24,B+,Married,Technician,Senior Technician,DMLT,Blood Bank,Contract,10,\N,10,48210,2016-12-04,Evening,Active,balendra.raj23@apollohospital.com,9966319314,Emergency Contact,9919058651,Sister,System,System,2023-01-01,2025-01-01
24,EMP000024,Varenya,Parikh,Male,1983-07-27,O+,Married,Nurse,Staff Nurse,M.Sc Nursing,Ward,Contract,4,\N,1,39794,2025-08-04,Morning,Active,varenya.parikh24@apollohospital.com,9628498776,Emergency Contact,9945314737,Sister,System,System,2023-01-01,2025-01-01
25,EMP000025,Urvashi,Raju,Male,1972-01-16,O-,Single,Doctor,Senior Consultant,MS,Pediatrics,Contract,8,\N,11,129788,2015-06-06,Evening,Active,urvashi.raju25@apollohospital.com,9948083136,Emergency Contact,9783777014,Mother,System,System,2023-01-01,2025-01-01
26,EMP000026,Gaurang,Jani,Male,1971-04-10,AB-,Married,Doctor,Head Consultant,MCh,Pulmonology,Full-time,11,\N,23,190485,2003-11-19,Night,Active,gaurang.jani26@apollohospital.com,9855744431,Emergency Contact,9351823374,Sister,System,System,2023-01-01,2025-01-01
27,EMP000027,Rajeshri,Parmer,Male,1971-02-27,B-,Married,Nurse,Chief Nursing Officer,GNM,OT,Contract,1,\N,19,70115,2007-04-10,Night,Active,rajeshri.parmer27@apollohospital.com,9824008427,Emergency Contact,9109477752,Father,System,System,2023-01-01,2025-01-01
28,EMP000028,Anusha,Kalla,Male,1988-02-27,O-,Single,Nurse,Chief Nursing Officer,M.Sc Nursing,ICU,Full-time,5,\N,16,65242,2010-02-13,Morning,Active,anusha.kalla28@apollohospital.com,9941318699,Emergency Contact,9938677496,Spouse,System,System,2023-01-01,2025-01-01
29,EMP000029,Laban,Wadhwa,Female,1993-12-04,B-,Married,Doctor,Consultant,MBBS,Orthopedics,Full-time,10,\N,5,98964,2021-04-21,Morning,Active,laban.wadhwa29@apollohospital.com,9812067974,Emergency Contact,9034471349,Mother,System,System,2023-01-01,2025-01-01
30,EMP000030,Rajeshri,Kant,Male,1977-09-08,AB+,Single,Nurse,Senior Nurse,GNM,ICU,Full-time,8,\N,4,41359,2022-11-05,Evening,Active,rajeshri.kant30@apollohospital.com,9994717464,Emergency Contact,9887719065,Sister,System,System,2023-01-01,2025-01-01
31,EMP000031,Kala,Misra,Male,1980-02-08,A+,Divorced,Doctor,Junior Resident,MS,Cardiology,Full-time,2,\N,1,83251,2025-11-27,Morning,Active,kala.misra31@apollohospital.com,9787429671,Emergency Contact,9756551256,Brother,System,System,2023-01-01,2025-01-01
32,EMP000032,Nisha,Samra,Male,1986-09-02,AB-,Married,Nurse,Nursing Supervisor,B.Sc Nursing,ICU,Full-time,6,\N,13,65947,2013-08-03,Evening,Active,nisha.samra32@apollohospital.com,9808760385,Emergency Contact,9977034824,Brother,System,System,2023-01-01,2025-01-01
33,EMP000033,Matthew,Randhawa,Female,1965-01-21,B-,Divorced,Doctor,Consultant,MD,Pediatrics,Full-time,3,\N,8,116512,2018-10-26,Morning,Active,matthew.randhawa33@apollohospital.com,9861317127,Emergency Contact,9484677378,Mother,System,System,2023-01-01,2025-01-01
34,EMP000034,Kashvi,Sarraf,Male,1979-10-17,A-,Married,Pharmacist,Senior Pharmacist,B.Pharm,Retail Pharmacy,Contract,10,\N,7,60053,2019-12-05,Evening,Active,kashvi.sarraf34@apollohospital.com,9044997278,Emergency Contact,9755886753,Mother,System,System,2023-01-01,2025-01-01
35,EMP000035,Yash,Patel,Female,1968-04-28,AB-,Divorced,Nurse,Chief Nursing Officer,B.Sc Nursing,Ward,Full-time,4,\N,25,85162,2001-07-02,Night,Active,yash.patel35@apollohospital.com,9270289517,Emergency Contact,9187026217,Spouse,System,System,2023-01-01,2025-01-01
36,EMP000036,Anirudh,Bhakta,Female,1983-12-13,AB-,Divorced,Technician,Chief Technician,MMLT,CT Scan,Full-time,1,\N,20,73816,2006-11-03,Evening,Active,anirudh.bhakta36@apollohospital.com,9780913431,Emergency Contact,9611724005,Father,System,System,2023-01-01,2025-01-01
37,EMP000037,Dhruv,Bava,Male,1986-06-14,O+,Divorced,Technician,Senior Technician,MMLT,Laboratory,Contract,11,\N,12,52992,2014-03-08,Morning,Active,dhruv.bava37@apollohospital.com,9196937923,Emergency Contact,9747407482,Father,System,System,2023-01-01,2025-01-01
38,EMP000038,Gaurangi,Agrawal,Female,1976-10-10,AB+,Married,Nurse,Nursing Supervisor,B.Sc Nursing,Emergency,Full-time,4,\N,12,59151,2014-11-14,Evening,Active,gaurangi.agrawal38@apollohospital.com,9136959440,Emergency Contact,9640909743,Sister,System,System,2023-01-01,2025-01-01
39,EMP000039,Tanish,Brar,Male,1982-11-07,B+,Divorced,Nurse,Senior Nurse,GNM,ICU,Full-time,1,\N,8,50530,2018-10-09,Evening,Active,tanish.brar39@apollohospital.com,9095214562,Emergency Contact,9328588424,Brother,System,System,2023-01-01,2025-01-01
40,EMP000040,Zaitra,Karpe,Male,1985-02-15,B-,Divorced,Pharmacist,Senior Pharmacist,M.Pharm,Inventory,Full-time,4,\N,11,64455,2015-02-05,Evening,Active,zaitra.karpe40@apollohospital.com,9160481754,Emergency Contact,9965137098,Spouse,System,System,2023-01-01,2025-01-01
41,EMP000041,Zaid,Kuruvilla,Female,1989-02-21,AB+,Divorced,Pharmacist,Senior Pharmacist,B.Pharm,Clinical Pharmacy,Full-time,3,\N,11,62345,2015-08-23,Morning,Active,zaid.kuruvilla41@apollohospital.com,9047113826,Emergency Contact,9758692617,Sister,System,System,2023-01-01,2025-01-01
42,EMP000042,Mugdha,Andra,Female,1979-01-23,O-,Married,Admin,Senior Executive,MBA,Operations,Contract,4,\N,9,41313,2017-06-07,General,Active,mugdha.andra42@apollohospital.com,9850643171,Emergency Contact,9390053293,Father,System,System,2023-01-01,2025-01-01
43,EMP000043,Zaid,Basu,Female,1970-10-07,B+,Divorced,Admin,Manager,BBA,Operations,Contract,2,\N,14,55032,2012-04-11,General,Active,zaid.basu43@apollohospital.com,9284210205,Emergency Contact,9395024026,Sister,System,System,2023-01-01,2025-01-01
44,EMP000044,Yadavi,Bath,Female,1996-08-15,A-,Married,Pharmacist,Pharmacist,M.Pharm,Clinical Pharmacy,Full-time,1,\N,2,49144,2024-06-17,Morning,Active,yadavi.bath44@apollohospital.com,9847007661,Emergency Contact,9771159212,Spouse,System,System,2023-01-01,2025-01-01
45,EMP000045,Harini,Choudhry,Male,1967-12-11,AB+,Married,Nurse,Chief Nursing Officer,M.Sc Nursing,NICU,Full-time,6,\N,36,107524,1990-07-20,Morning,Active,harini.choudhry45@apollohospital.com,9183673657,Emergency Contact,9661565452,Brother,System,System,2023-01-01,2025-01-01
46,EMP000046,Anthony,Sarraf,Female,2001-02-03,AB-,Single,Admin,Executive,BBA,Operations,Contract,7,\N,1,33988,2025-07-04,General,Active,anthony.sarraf46@apollohospital.com,9656049451,Emergency Contact,9983273158,Spouse,System,System,2023-01-01,2025-01-01
47,EMP000047,Harsh,Rattan,Male,1997-10-08,A+,Divorced,Technician,Lab Technician,MMLT,MRI,Full-time,4,\N,5,39237,2021-07-28,Morning,Active,harsh.rattan47@apollohospital.com,9445502296,Emergency Contact,9120183667,Spouse,System,System,2023-01-01,2025-01-01
48,EMP000048,Indrajit,Bawa,Female,1986-05-24,A-,Single,Doctor,Consultant,MD,Orthopedics,Contract,5,\N,6,108180,2020-06-25,Night,Active,indrajit.bawa48@apollohospital.com,9014767976,Emergency Contact,9438156149,Brother,System,System,2023-01-01,2025-01-01
49,EMP000049,Krishna,Prasad,Female,1970-01-08,A+,Single,Pharmacist,Pharmacy Manager,D.Pharm,Retail Pharmacy,Contract,11,\N,20,88744,2006-07-20,Morning,Active,krishna.prasad49@apollohospital.com,9244510762,Emergency Contact,9268388516,Father,System,System,2023-01-01,2025-01-01
50,EMP000050,Jason,Konda,Male,1978-08-03,O+,Divorced,Admin,Executive,M.Com,Procurement,Full-time,10,\N,1,30871,2025-06-19,General,Active,jason.konda50@apollohospital.com,9605297516,Emergency Contact,9136968164,Spouse,System,System,2023-01-01,2025-01-01
51,EMP000051,Vritti,Amble,Male,1982-03-03,A-,Divorced,Doctor,Senior Consultant,MCh,General Medicine,Contract,10,\N,11,134421,2015-09-21,Evening,Active,vritti.amble51@apollohospital.com,9523124329,Emergency Contact,9212779979,Sister,System,System,2023-01-01,2025-01-01
52,EMP000052,Krish,Luthra,Female,1983-06-05,O-,Married,Pharmacist,Pharmacy Manager,M.Pharm,Retail Pharmacy,Full-time,1,\N,21,89723,2005-08-03,Evening,Active,krish.luthra52@apollohospital.com,9905814770,Emergency Contact,9054119986,Brother,System,System,2023-01-01,2025-01-01
53,EMP000053,Amruta,Karpe,Female,1969-08-26,B-,Married,Technician,Lab Technician,MMLT,CT Scan,Contract,8,\N,3,39507,2023-10-21,Morning,Active,amruta.karpe53@apollohospital.com,9071518203,Emergency Contact,9778892554,Brother,System,System,2023-01-01,2025-01-01
54,EMP000054,Gagan,Chaudhuri,Female,1979-06-22,AB-,Single,Admin,Manager,B.Com,HR,Contract,7,\N,25,69070,2001-10-02,General,Active,gagan.chaudhuri54@apollohospital.com,9449251925,Emergency Contact,9462914865,Mother,System,System,2023-01-01,2025-01-01
55,EMP000055,Daksh,Gulati,Female,1971-11-22,AB-,Single,Nurse,Senior Nurse,B.Sc Nursing,OT,Contract,5,\N,6,45476,2020-07-17,Morning,Active,daksh.gulati55@apollohospital.com,9573322141,Emergency Contact,9888059296,Mother,System,System,2023-01-01,2025-01-01
56,EMP000056,Ekantika,Prabhu,Female,1993-12-25,B+,Divorced,Pharmacist,Pharmacist,B.Pharm,Clinical Pharmacy,Full-time,10,\N,3,46965,2023-10-26,Evening,Active,ekantika.prabhu56@apollohospital.com,9379473834,Emergency Contact,9735977468,Sister,System,System,2023-01-01,2025-01-01
57,EMP000057,Gayathri,Kala,Female,1970-04-26,AB+,Single,Doctor,Consultant,DM,Pulmonology,Full-time,3,\N,6,106542,2020-10-05,Morning,Active,gayathri.kala57@apollohospital.com,9814124782,Emergency Contact,9613750606,Sister,System,System,2023-01-01,2025-01-01
58,EMP000058,Shravya,Reddy,Male,1981-07-03,A+,Married,Technician,Senior Technician,DMLT,MRI,Full-time,10,\N,8,50882,2018-06-08,Morning,Active,shravya.reddy58@apollohospital.com,9204727790,Emergency Contact,9104328986,Father,System,System,2023-01-01,2025-01-01
59,EMP000059,David,Pau,Female,1987-05-04,O+,Divorced,Admin,Senior Executive,M.Com,HR,Full-time,4,\N,8,39908,2018-01-08,General,Active,david.pau59@apollohospital.com,9980893246,Emergency Contact,9095396218,Spouse,System,System,2023-01-01,2025-01-01
60,EMP000060,Tejas,Gole,Female,2000-09-17,A+,Married,Nurse,Senior Nurse,B.Sc Nursing,ICU,Contract,5,\N,5,47207,2021-09-18,Evening,Active,tejas.gole60@apollohospital.com,9540515319,Emergency Contact,9520585277,Mother,System,System,2023-01-01,2025-01-01
61,EMP000061,Chakrika,Singhal,Female,1988-12-25,AB+,Single,Doctor,Junior Resident,MBBS,General Medicine,Full-time,1,\N,2,89256,2024-08-02,Morning,Active,chakrika.singhal61@apollohospital.com,9548687403,Emergency Contact,9450541566,Brother,System,System,2023-01-01,2025-01-01
62,EMP000062,Faraj,Lall,Female,1980-03-16,AB-,Divorced,Nurse,Nursing Supervisor,B.Sc Nursing,ICU,Contract,6,\N,11,59956,2015-12-16,Evening,Active,faraj.lall62@apollohospital.com,9169284511,Emergency Contact,9544796275,Brother,System,System,2023-01-01,2025-01-01
63,EMP000063,George,Kakar,Female,2002-06-20,A+,Single,Nurse,Staff Nurse,M.Sc Nursing,Ward,Contract,3,\N,3,40976,2023-07-09,Night,Active,george.kakar63@apollohospital.com,9202970213,Emergency Contact,9556909275,Spouse,System,System,2023-01-01,2025-01-01
64,EMP000064,Jasmit,Solanki,Male,1975-02-19,AB-,Married,Pharmacist,Pharmacy Manager,B.Pharm,Inventory,Contract,1,\N,25,94283,2001-03-17,Morning,Active,jasmit.solanki64@apollohospital.com,9102786814,Emergency Contact,9473947312,Father,System,System,2023-01-01,2025-01-01
65,EMP000065,Yashawini,Mukherjee,Male,1977-12-15,AB-,Divorced,Admin,Senior Executive,B.Com,HR,Full-time,10,\N,6,40505,2020-02-26,General,Active,yashawini.mukherjee65@apollohospital.com,9422583132,Emergency Contact,9370589578,Mother,System,System,2023-01-01,2025-01-01
66,EMP000066,Chatura,Sur,Female,1999-05-13,O-,Divorced,Nurse,Staff Nurse,B.Sc Nursing,Ward,Full-time,5,\N,1,40744,2025-12-24,Night,Active,chatura.sur66@apollohospital.com,9125177852,Emergency Contact,9892268018,Mother,System,System,2023-01-01,2025-01-01
67,EMP000067,Arya,Ahuja,Male,1984-03-11,AB-,Divorced,Pharmacist,Senior Pharmacist,B.Pharm,Clinical Pharmacy,Contract,4,\N,6,52252,2020-12-08,Morning,Active,arya.ahuja67@apollohospital.com,9842498182,Emergency Contact,9992299590,Father,System,System,2023-01-01,2025-01-01
68,EMP000068,Udarsh,Lanka,Male,1999-11-25,B-,Divorced,Nurse,Staff Nurse,B.Sc Nursing,NICU,Contract,11,\N,1,39234,2025-10-09,Morning,Active,udarsh.lanka68@apollohospital.com,9784473647,Emergency Contact,9102767735,Sister,System,System,2023-01-01,2025-01-01
69,EMP000069,Nitesh,Sama,Male,1995-12-11,AB-,Married,Technician,Senior Technician,DMLT,MRI,Contract,8,\N,6,45018,2020-12-28,Morning,Active,nitesh.sama69@apollohospital.com,9537147321,Emergency Contact,9046963259,Spouse,System,System,2023-01-01,2025-01-01
70,EMP000070,Kevin,Pradhan,Female,1984-03-16,O-,Married,Doctor,Senior Consultant,DM,Cardiology,Contract,2,\N,13,137737,2013-09-15,Evening,Active,kevin.pradhan70@apollohospital.com,9873395004,Emergency Contact,9797480162,Spouse,System,System,2023-01-01,2025-01-01
71,EMP000071,Saumya,Som,Female,1982-07-12,A+,Divorced,Admin,Manager,MBA,Operations,Contract,4,\N,25,69032,2001-01-13,General,Active,saumya.som71@apollohospital.com,9168784991,Emergency Contact,9216558523,Sister,System,System,2023-01-01,2025-01-01
72,EMP000072,Atharv,Malhotra,Female,1973-09-02,B+,Divorced,Admin,Manager,B.Com,Procurement,Full-time,10,\N,26,70254,2000-01-02,General,Active,atharv.malhotra72@apollohospital.com,9298259526,Emergency Contact,9949588879,Spouse,System,System,2023-01-01,2025-01-01
73,EMP000073,Ekiya,Som,Female,1966-06-11,O+,Divorced,Doctor,Junior Resident,MS,Cardiology,Contract,8,\N,2,86889,2024-11-04,Evening,Active,ekiya.som73@apollohospital.com,9499309728,Emergency Contact,9962309130,Brother,System,System,2023-01-01,2025-01-01
74,EMP000074,Saksham,Rai,Male,1976-03-14,O+,Divorced,Doctor,Senior Consultant,MCh,Oncology,Contract,5,\N,14,149150,2012-12-07,Night,Active,saksham.rai74@apollohospital.com,9028385786,Emergency Contact,9527858549,Brother,System,System,2023-01-01,2025-01-01
75,EMP000075,Varsha,Sankar,Female,1984-05-18,AB+,Married,Doctor,Consultant,MD,Oncology,Contract,9,\N,4,94597,2022-05-08,Evening,Active,varsha.sankar75@apollohospital.com,9584419866,Emergency Contact,9524041574,Brother,System,System,2023-01-01,2025-01-01
76,EMP000076,Vedhika,Rout,Female,1990-09-09,AB+,Single,Pharmacist,Pharmacist,D.Pharm,Inventory,Contract,10,\N,4,51869,2022-09-23,Morning,Active,vedhika.rout76@apollohospital.com,9308330165,Emergency Contact,9712082677,Mother,System,System,2023-01-01,2025-01-01
77,EMP000077,Lekha,Sarin,Female,1978-05-21,A-,Divorced,Doctor,Senior Consultant,MCh,General Medicine,Full-time,2,\N,11,131383,2015-01-25,Night,Active,lekha.sarin77@apollohospital.com,9026206724,Emergency Contact,9004991547,Sister,System,System,2023-01-01,2025-01-01
78,EMP000078,Kala,Nath,Female,1972-03-28,AB+,Single,Admin,Manager,BBA,Operations,Full-time,8,\N,32,76331,1994-09-15,General,Active,kala.nath78@apollohospital.com,9420549329,Emergency Contact,9668516122,Brother,System,System,2023-01-01,2025-01-01
79,EMP000079,Omisha,Modi,Female,1985-01-09,O-,Married,Admin,Senior Executive,B.Com,Operations,Contract,3,\N,8,43771,2018-07-08,General,Active,omisha.modi79@apollohospital.com,9453017426,Emergency Contact,9841459332,Brother,System,System,2023-01-01,2025-01-01
80,EMP000080,Eesha,Bhalla,Female,1995-12-20,O-,Divorced,Nurse,Senior Nurse,M.Sc Nursing,Emergency,Contract,9,\N,8,54241,2018-06-14,Morning,Active,eesha.bhalla80@apollohospital.com,9918785191,Emergency Contact,9088398225,Sister,System,System,2023-01-01,2025-01-01
81,EMP000081,Yashoda,Batra,Female,1976-11-07,O-,Single,Technician,Lab Technician,MMLT,CT Scan,Contract,8,\N,4,43824,2022-12-19,Morning,Active,yashoda.batra81@apollohospital.com,9728679087,Emergency Contact,9406403910,Brother,System,System,2023-01-01,2025-01-01
82,EMP000082,Amara,Chakrabarti,Female,1974-02-18,O-,Single,Doctor,Head Consultant,MS,Radiology,Full-time,7,\N,23,188474,2003-01-03,Morning,Active,amara.chakrabarti82@apollohospital.com,9656766182,Emergency Contact,9512868230,Father,System,System,2023-01-01,2025-01-01
83,EMP000083,Ranveer,Dani,Female,1984-11-24,O+,Single,Pharmacist,Pharmacy Manager,D.Pharm,Retail Pharmacy,Full-time,11,\N,15,72835,2011-09-14,Morning,Active,ranveer.dani83@apollohospital.com,9431069033,Emergency Contact,9119079030,Brother,System,System,2023-01-01,2025-01-01
84,EMP000084,Lohit,Tak,Female,1975-09-07,AB+,Single,Pharmacist,Senior Pharmacist,M.Pharm,Inventory,Full-time,1,\N,8,57212,2018-01-05,Evening,Active,lohit.tak84@apollohospital.com,9342836440,Emergency Contact,9892687056,Sister,System,System,2023-01-01,2025-01-01
85,EMP000085,Gunbir,Goel,Female,1985-07-14,O+,Single,Admin,Manager,M.Com,Finance,Full-time,10,\N,23,68457,2003-03-10,General,Active,gunbir.goel85@apollohospital.com,9427086688,Emergency Contact,9263435175,Father,System,System,2023-01-01,2025-01-01
86,EMP000086,Nathaniel,Dass,Male,1969-01-09,A+,Single,Pharmacist,Pharmacy Manager,D.Pharm,Inventory,Contract,11,\N,13,71533,2013-07-22,Morning,Active,nathaniel.dass86@apollohospital.com,9735403317,Emergency Contact,9393638546,Brother,System,System,2023-01-01,2025-01-01
87,EMP000087,Riya,Borde,Male,1970-05-09,O-,Married,Nurse,Chief Nursing Officer,GNM,Ward,Contract,10,\N,23,84239,2003-06-17,Evening,Active,riya.borde87@apollohospital.com,9355609320,Emergency Contact,9489964235,Mother,System,System,2023-01-01,2025-01-01
88,EMP000088,Arunima,Mohan,Female,1980-04-16,AB-,Married,Technician,Chief Technician,BMLT,CT Scan,Full-time,7,\N,19,67975,2007-09-21,Morning,Active,arunima.mohan88@apollohospital.com,9522872808,Emergency Contact,9010062312,Father,System,System,2023-01-01,2025-01-01
89,EMP000089,Chatura,Rege,Male,1991-08-12,O-,Divorced,Technician,Senior Technician,BMLT,Radiology,Contract,6,\N,9,46254,2017-01-20,Evening,Active,chatura.rege89@apollohospital.com,9008484086,Emergency Contact,9211823398,Spouse,System,System,2023-01-01,2025-01-01
90,EMP000090,Indira,Varma,Female,1981-07-03,O-,Divorced,Pharmacist,Senior Pharmacist,D.Pharm,Inventory,Full-time,2,\N,9,58650,2017-06-13,Evening,Active,indira.varma90@apollohospital.com,9101666870,Emergency Contact,9021765918,Father,System,System,2023-01-01,2025-01-01
91,EMP000091,Gavin,De,Male,1991-12-19,A+,Single,Admin,Senior Executive,B.Com,HR,Contract,8,\N,7,38969,2019-08-09,General,Active,gavin.de91@apollohospital.com,9039261429,Emergency Contact,9396856218,Spouse,System,System,2023-01-01,2025-01-01
92,EMP000092,Harita,Seth,Female,1993-07-08,O+,Married,Doctor,Junior Resident,MBBS,Pediatrics,Contract,11,\N,1,83418,2025-02-11,Evening,Active,harita.seth92@apollohospital.com,9735866296,Emergency Contact,9194311426,Mother,System,System,2023-01-01,2025-01-01
93,EMP000093,Adya,Tripathi,Female,1979-06-04,AB+,Married,Pharmacist,Senior Pharmacist,B.Pharm,Retail Pharmacy,Contract,9,\N,11,62037,2015-02-01,Morning,Active,adya.tripathi93@apollohospital.com,9126788861,Emergency Contact,9015819956,Father,System,System,2023-01-01,2025-01-01
94,EMP000094,Panini,Narayan,Female,1986-07-25,B-,Divorced,Technician,Chief Technician,MMLT,Laboratory,Contract,1,\N,14,60814,2012-02-24,Evening,Active,panini.narayan94@apollohospital.com,9224447212,Emergency Contact,9646471543,Brother,System,System,2023-01-01,2025-01-01
95,EMP000095,Chaitaly,Hayre,Male,1966-08-04,A+,Married,Nurse,Nursing Supervisor,B.Sc Nursing,NICU,Contract,6,\N,13,61112,2013-03-10,Evening,Active,chaitaly.hayre95@apollohospital.com,9756924593,Emergency Contact,9752654793,Spouse,System,System,2023-01-01,2025-01-01
