patient_insurance_id,patient_id,insurance_provider_id,policy_number,policy_holder_name,relationship_with_holder,policy_start_date,policy_end_date,coverage_amount,remaining_coverage,insurance_status,cashless_eligible,pre_authorization_number,remarks,created_by,updated_by,created_date,updated_date
65,7933,12,POL88340596,Ishita Iyer,Self,2020-12-31,2022-12-31,500000,112245.91,Expired,False,,Cashless Approved,System,System,2020-12-31,2020-12-31
66,16558,42,POL39397651,Amit Nair,Self,2020-01-01,2021-12-31,500000,164776.7,Expired,True,PA100065,Cashless Approved,System,System,2020-01-01,2020-01-01
67,20605,39,POL45270673,Rohan Khan,Self,2020-01-01,2021-12-31,100000,56205.6,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
68,20605,50,POL92181541,Rohan Khan,Spouse,2021-12-31,2022-12-31,200000,123726.84,Expired,True,PA100067,System Generated,System,System,2021-12-31,2021-12-31
69,12984,48,POL93338607,Amit Jain,Self,2020-01-01,2021-12-31,200000,177232.18,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
70,3015,19,POL81918924,Preeti Reddy,Guardian,2020-01-01,2021-12-31,200000,154592.08,Expired,True,PA100069,Verified,System,System,2020-01-01,2020-01-01
71,27332,43,POL38676095,Aarav Thomas,Spouse,2020-01-01,2021-12-31,1000000,992312.51,Expired,True,PA100070,Policy Renewed,System,System,2020-01-01,2020-01-01
72,27332,8,POL36613598,Aarav Thomas,Self,2021-12-31,2022-12-31,500000,131487.84,Expired,True,PA100071,Waiting Approval,System,System,2021-12-31,2021-12-31
73,12125,32,POL90391060,Sakshi Das,Self,2020-01-01,2022-12-31,200000,60835.37,Expired,True,PA100072,System Generated,System,System,2020-01-01,2020-01-01
74,3753,21,POL01480800,Yash Pillai,Spouse,2020-01-01,2020-12-31,1000000,267484.48,Expired,True,PA100073,Cashless Approved,System,System,2020-01-01,2020-01-01
75,27388,33,POL81635797,Harsh Kapoor,Self,2020-01-01,2020-12-31,500000,315383.22,Expired,True,PA100074,Verified,System,System,2020-01-01,2020-01-01
76,12336,48,POL69623255,Vihaan Fernandes,Self,2020-01-01,2022-12-31,200000,82697.72,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
77,12336,24,POL58307722,Vihaan Fernandes,Spouse,2022-12-31,2024-12-30,200000,149381.27,Expired,False,,Policy Renewed,System,System,2022-12-31,2022-12-31
78,11545,9,POL94828824,Ananya Menon,Self,2020-01-01,2021-12-31,200000,61230.54,Expired,True,PA100077,Policy Renewed,System,System,2020-01-01,2020-01-01
79,11357,38,POL90939260,Varun Singh,Self,2020-01-01,2022-12-31,1000000,282553.12,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
80,2677,4,POL08775108,Arjun Nair,Self,2020-01-01,2022-12-31,300000,170439.71,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
81,28739,6,POL39884172,Abhishek Verma,Father,2020-01-01,2022-12-31,500000,250359.34,Expired,True,PA100080,Policy Renewed,System,System,2020-01-01,2020-01-01
82,29996,9,POL67637340,Neha Das,Self,2020-01-01,2021-12-31,200000,172666.39,Expired,True,PA100081,Cashless Approved,System,System,2020-01-01,2020-01-01
83,29996,15,POL08463803,Neha Das,Self,2021-12-31,2024-12-30,500000,435021.63,Expired,False,,Verified,System,System,2021-12-31,2021-12-31
84,20748,15,POL78537360,Raj Kulkarni,Self,2020-01-01,2020-12-31,100000,29394.29,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
85,13376,44,POL69121058,Muskan Shetty,Self,2020-01-01,2021-12-31,1000000,849858.22,Expired,True,PA100084,Verified,System,System,2020-01-01,2020-01-01
86,17987,14,POL30212004,Khushi Nair,Self,2020-01-01,2021-12-31,1000000,651331.99,Expired,True,PA100085,Waiting Approval,System,System,2020-01-01,2020-01-01
87,7886,13,POL24790701,Vivaan Verma,Self,2020-01-01,2022-12-31,200000,120569.32,Expired,False,,Policy Renewed,System,System,2020-01-01,2020-01-01
88,13333,27,POL50900817,Aanya Nair,Self,2020-01-01,2022-12-31,500000,137905.35,Expired,True,PA100087,Cashless Approved,System,System,2020-01-01,2020-01-01
89,9586,16,POL03269388,Arjun Singh,Father,2020-01-01,2022-12-31,500000,395852.31,Expired,True,PA100088,System Generated,System,System,2020-01-01,2020-01-01
90,6333,2,POL53632501,Anjali Kulkarni,Self,2020-01-01,2022-12-31,1000000,247707.03,Expired,True,PA100089,System Generated,System,System,2020-01-01,2020-01-01
91,24430,18,POL52958309,Sai Chavan,Self,2020-01-01,2022-12-31,200000,84430.68,Expired,True,PA100090,System Generated,System,System,2020-01-01,2020-01-01
92,18080,2,POL33352181,Raj Singh,Self,2020-01-01,2021-12-31,300000,82903.57,Expired,True,PA100091,Policy Renewed,System,System,2020-01-01,2020-01-01
93,5202,33,POL46039794,Riya Joshi,Spouse,2020-01-01,2021-12-31,500000,312307.04,Expired,True,PA100092,Policy Renewed,System,System,2020-01-01,2020-01-01
94,748,14,POL39153333,Abhishek Khan,Self,2020-01-01,2020-12-31,500000,358092.02,Expired,True,PA100093,Verified,System,System,2020-01-01,2020-01-01
95,9761,38,POL85040300,Karan Nair,Spouse,2020-01-01,2021-12-31,200000,182536.82,Expired,True,PA100094,Cashless Approved,System,System,2020-01-01,2020-01-01
96,29613,49,POL17558007,Nandini Mishra,Self,2020-01-01,2021-12-31,500000,393548.77,Expired,True,PA100095,Cashless Approved,System,System,2020-01-01,2020-01-01
97,19993,45,POL97992840,Riya Jain,Self,2020-01-01,2022-12-31,100000,96888.35,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
98,23190,23,POL44644540,Siddharth Sharma,Self,2020-01-01,2021-12-31,500000,404379.93,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
99,23190,18,POL57557535,Siddharth Sharma,Self,2021-12-31,2023-12-31,200000,87691.7,Expired,False,,Cashless Approved,System,System,2021-12-31,2021-12-31
100,25536,47,POL25456925,Preeti Pandey,Self,2020-01-01,2020-12-31,200000,127613.57,Expired,True,PA100099,Verified,System,System,2020-01-01,2020-01-01
101,17964,7,POL87691008,Abhishek Pandey,Self,2020-01-01,2021-12-31,300000,169905.51,Expired,True,PA100100,Policy Renewed,System,System,2020-01-01,2020-01-01
102,25247,7,POL49957160,Ananya Fernandes,Self,2020-01-01,2022-12-31,300000,195832.49,Expired,True,PA100101,System Generated,System,System,2020-01-01,2020-01-01
103,5082,29,POL08608957,Preeti Menon,Self,2020-01-01,2022-12-31,300000,197301.44,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
104,5082,26,POL10370513,Preeti Menon,Self,2022-12-31,2024-12-30,300000,228504.26,Expired,True,PA100103,Verified,System,System,2022-12-31,2022-12-31
105,9351,18,POL67018356,Ritvik Reddy,Father,2020-01-01,2020-12-31,200000,53287.01,Expired,True,PA100104,System Generated,System,System,2020-01-01,2020-01-01
106,10983,24,POL58669626,Aarav Mishra,Self,2020-01-01,2021-12-31,100000,79739.61,Expired,True,PA100105,System Generated,System,System,2020-01-01,2020-01-01
107,23622,33,POL61707097,Preeti Nair,Self,2020-01-01,2020-12-31,500000,157497.45,Expired,True,PA100106,Waiting Approval,System,System,2020-01-01,2020-01-01
108,13236,4,POL42328039,Karan Jain,Self,2020-01-01,2022-12-31,200000,44193.17,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
109,19368,10,POL81323376,Sai Gupta,Self,2020-01-01,2020-12-31,300000,184537.33,Expired,True,PA100108,Waiting Approval,System,System,2020-01-01,2020-01-01
110,1191,13,POL08250318,Simran Singh,Self,2020-01-01,2020-12-31,500000,332590.78,Expired,True,PA100109,Policy Renewed,System,System,2020-01-01,2020-01-01
111,822,35,POL29906596,Alex Reddy,Self,2020-01-01,2020-12-31,1000000,227880.86,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
112,15879,40,POL31524731,Nikhil Singh,Self,2020-01-01,2022-12-31,500000,306148.45,Expired,True,PA100111,Waiting Approval,System,System,2020-01-01,2020-01-01
113,15879,8,POL67073141,Nikhil Singh,Mother,2022-12-31,2024-12-30,100000,62765.62,Expired,True,PA100112,Policy Renewed,System,System,2022-12-31,2022-12-31
114,20498,5,POL06336121,Pooja Thomas,Spouse,2020-01-01,2020-12-31,500000,120997.96,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
115,20498,15,POL83582357,Pooja Thomas,Self,2020-12-31,2022-12-31,1000000,769268.23,Expired,True,PA100114,Waiting Approval,System,System,2020-12-31,2020-12-31
116,9420,38,POL98325605,Preeti Kulkarni,Father,2020-01-01,2022-12-31,300000,110469.53,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
117,28101,11,POL27114993,Manish Yadav,Spouse,2020-01-01,2021-12-31,1000000,835567.37,Expired,True,PA100116,Cashless Approved,System,System,2020-01-01,2020-01-01
118,8893,6,POL44542432,Manish Joshi,Self,2020-01-01,2020-12-31,300000,134597.31,Expired,True,PA100117,Policy Renewed,System,System,2020-01-01,2020-01-01
119,4462,23,POL33691123,Vivaan Yadav,Father,2020-01-01,2021-12-31,300000,174694.21,Expired,True,PA100118,Policy Renewed,System,System,2020-01-01,2020-01-01
120,25230,24,POL34439143,Raj Sharma,Self,2020-01-01,2022-12-31,200000,182696.14,Expired,True,PA100119,System Generated,System,System,2020-01-01,2020-01-01
121,29986,37,POL19677828,Ankit Reddy,Spouse,2020-01-01,2022-12-31,500000,422471.79,Expired,True,PA100120,System Generated,System,System,2020-01-01,2020-01-01
122,12607,30,POL77679941,Aditya Gupta,Father,2020-01-01,2020-12-31,200000,165098.17,Expired,True,PA100121,System Generated,System,System,2020-01-01,2020-01-01
123,25979,40,POL92928342,Muskan Verma,Self,2020-01-01,2022-12-31,100000,32834.74,Expired,True,PA100122,Waiting Approval,System,System,2020-01-01,2020-01-01
124,19133,17,POL14354147,Kavya Thomas,Self,2020-01-01,2022-12-31,100000,23851.39,Expired,True,PA100123,System Generated,System,System,2020-01-01,2020-01-01
125,14741,5,POL86493563,Pooja Chavan,Self,2020-01-01,2020-12-31,200000,136921.43,Expired,True,PA100124,Cashless Approved,System,System,2020-01-01,2020-01-01
126,12147,43,POL30045899,Manish Jain,Self,2020-01-01,2020-12-31,200000,105710.66,Expired,True,PA100125,Policy Renewed,System,System,2020-01-01,2020-01-01
127,2745,2,POL18596058,Aanya Patel,Spouse,2020-01-01,2021-12-31,300000,278178.55,Expired,True,PA100126,Policy Renewed,System,System,2020-01-01,2020-01-01
128,10115,21,POL73546968,Vihaan Kulkarni,Father,2020-01-01,2020-12-31,200000,95934.92,Expired,True,PA100127,System Generated,System,System,2020-01-01,2020-01-01
129,2384,4,POL66071510,Riya Kapoor,Self,2020-01-01,2021-12-31,1000000,528438.68,Expired,True,PA100128,Verified,System,System,2020-01-01,2020-01-01
130,9154,7,POL20507047,Vihaan Patel,Self,2020-01-01,2021-12-31,200000,124160.09,Expired,False,,Policy Renewed,System,System,2020-01-01,2020-01-01
131,1407,42,POL40535520,Varun Gupta,Self,2020-01-01,2020-12-31,300000,251136.16,Expired,True,PA100130,Waiting Approval,System,System,2020-01-01,2020-01-01
132,16561,5,POL16569745,Komal Reddy,Self,2020-01-01,2021-12-31,100000,41463.92,Expired,True,PA100131,Verified,System,System,2020-01-01,2020-01-01
133,19362,15,POL63138581,Swati Kapoor,Self,2020-01-01,2021-12-31,200000,190691.31,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
134,10343,38,POL65802249,Raj Pillai,Self,2020-01-01,2022-12-31,100000,63193.69,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
135,10343,31,POL85431490,Raj Pillai,Mother,2022-12-31,2025-12-30,300000,261834.54,Expired,True,PA100134,System Generated,System,System,2022-12-31,2022-12-31
136,27757,4,POL99717402,Nikhil Singh,Self,2020-01-01,2022-12-31,500000,310247.39,Expired,True,PA100135,Waiting Approval,System,System,2020-01-01,2020-01-01
137,17615,25,POL82262351,Aditya Joshi,Self,2020-01-01,2020-12-31,200000,163518.91,Expired,True,PA100136,Verified,System,System,2020-01-01,2020-01-01
138,19907,46,POL48284455,Krishna Gupta,Self,2020-01-01,2022-12-31,200000,48227.32,Expired,True,PA100137,Verified,System,System,2020-01-01,2020-01-01
139,24531,6,POL21540352,Vihaan Chavan,Self,2020-01-01,2021-12-31,100000,83937.0,Expired,True,PA100138,System Generated,System,System,2020-01-01,2020-01-01
140,24531,35,POL38288023,Vihaan Chavan,Guardian,2021-12-31,2023-12-31,500000,309583.77,Expired,True,PA100139,Waiting Approval,System,System,2021-12-31,2021-12-31
141,27309,50,POL39600467,Aanya Menon,Mother,2020-01-01,2022-12-31,500000,279766.24,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
142,27309,16,POL65425138,Aanya Menon,Self,2022-12-31,2025-12-30,100000,28928.77,Expired,True,PA100141,Waiting Approval,System,System,2022-12-31,2022-12-31
143,17789,21,POL96016210,Siddharth Fernandes,Self,2020-01-01,2022-12-31,200000,158650.01,Expired,True,PA100142,System Generated,System,System,2020-01-01,2020-01-01
144,17789,37,POL98467782,Siddharth Fernandes,Self,2022-12-31,2023-12-31,1000000,304930.92,Expired,False,,System Generated,System,System,2022-12-31,2022-12-31
145,13076,30,POL90790231,Riya Singh,Self,2020-01-01,2021-12-31,200000,70770.85,Expired,True,PA100144,System Generated,System,System,2020-01-01,2020-01-01
146,22090,13,POL31969053,Meera Menon,Self,2020-01-01,2022-12-31,300000,90341.58,Expired,True,PA100145,Cashless Approved,System,System,2020-01-01,2020-01-01
147,28574,20,POL93059052,Aditya Thomas,Self,2020-01-01,2021-12-31,200000,41052.1,Expired,True,PA100146,System Generated,System,System,2020-01-01,2020-01-01
148,20569,27,POL45142548,Anjali Reddy,Self,2020-01-01,2021-12-31,300000,218859.31,Expired,True,PA100147,Verified,System,System,2020-01-01,2020-01-01
149,17891,39,POL12299422,Simran Kulkarni,Self,2020-01-01,2021-12-31,1000000,416675.24,Expired,True,PA100148,Cashless Approved,System,System,2020-01-01,2020-01-01
150,16838,11,POL10968416,Meera Menon,Self,2020-01-01,2022-12-31,1000000,319576.37,Expired,True,PA100149,System Generated,System,System,2020-01-01,2020-01-01
151,6553,31,POL57879851,Jordan Yadav,Father,2020-01-01,2022-12-31,500000,227988.99,Expired,True,PA100150,Waiting Approval,System,System,2020-01-01,2020-01-01
152,19638,41,POL00233246,Karan Joshi,Self,2020-01-01,2022-12-31,300000,179780.33,Expired,False,,Policy Renewed,System,System,2020-01-01,2020-01-01
153,19638,29,POL69025523,Karan Joshi,Self,2022-12-31,2025-12-30,300000,180819.01,Expired,True,PA100152,Cashless Approved,System,System,2022-12-31,2022-12-31
154,18295,16,POL19221535,Manish Shetty,Self,2020-01-01,2020-12-31,200000,98751.36,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
155,2877,28,POL22543030,Shruti Thomas,Guardian,2020-01-01,2022-12-31,1000000,595945.82,Expired,True,PA100154,Cashless Approved,System,System,2020-01-01,2020-01-01
156,2983,7,POL38474661,Akash Reddy,Self,2020-01-01,2022-12-31,500000,270936.58,Expired,True,PA100155,Waiting Approval,System,System,2020-01-01,2020-01-01
157,17411,31,POL65862983,Shruti Iyer,Self,2020-01-01,2022-12-31,300000,257439.66,Expired,True,PA100156,Verified,System,System,2020-01-01,2020-01-01
158,15163,29,POL52533619,Tanvi Kulkarni,Spouse,2020-01-01,2021-12-31,100000,22369.12,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
159,2154,13,POL91903175,Pooja Patel,Self,2020-01-01,2020-12-31,300000,268327.23,Expired,True,PA100158,Verified,System,System,2020-01-01,2020-01-01
160,2154,2,POL38258663,Pooja Patel,Self,2020-12-31,2022-12-31,1000000,395132.2,Expired,False,,Waiting Approval,System,System,2020-12-31,2020-12-31
161,18701,8,POL33305900,Krishna Reddy,Self,2020-01-01,2022-12-31,300000,233227.73,Expired,True,PA100160,Cashless Approved,System,System,2020-01-01,2020-01-01
162,7668,40,POL90338056,Aanya Gupta,Self,2020-01-01,2022-12-31,200000,104806.34,Expired,False,,Policy Renewed,System,System,2020-01-01,2020-01-01
163,7668,20,POL35211187,Aanya Gupta,Self,2022-12-31,2023-12-31,100000,43546.64,Expired,True,PA100162,Cashless Approved,System,System,2022-12-31,2022-12-31
164,15244,15,POL08250464,Sneha Yadav,Self,2020-01-01,2022-12-31,200000,138455.58,Expired,True,PA100163,Verified,System,System,2020-01-01,2020-01-01
165,16858,8,POL58056114,Priya Kapoor,Self,2020-01-01,2021-12-31,1000000,815107.54,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
166,13962,17,POL16973654,Riya Bose,Spouse,2020-01-01,2021-12-31,1000000,559949.16,Expired,True,PA100165,Waiting Approval,System,System,2020-01-01,2020-01-01
167,218,21,POL80778803,Rahul Verma,Self,2020-01-01,2022-12-31,1000000,573243.07,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
168,23288,13,POL25191090,Harsh Kulkarni,Self,2020-01-01,2021-12-31,500000,123542.59,Expired,True,PA100167,Policy Renewed,System,System,2020-01-01,2020-01-01
169,2214,13,POL43166201,Tanvi Gupta,Self,2020-01-01,2022-12-31,300000,281759.04,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
